Longitude,Latitude,CapitalName,COUNTRY,Population
69.13675829,34.53091193,Kabul,Afghanistan,4136000
19.83200436,41.33199592,Tirana,Albania,418495
3.050001347,36.78329694,Algiers,Algeria,3608000
-170.6978607,-14.26837498,Pago Pago,American Samoa,3656
1.516662363,42.49999796,Andorra La Valla,Andorra,22205
13.23500442,-8.811998951,Luanda,Angola,7555000
-63.06666263,18.21666602,The Valley,Anguilla,2812
-61.84217656,17.12477703,Saint John's,Antigua & Barbuda,0
-58.4498337,-34.62249601,Buenos Aires,Argentina,15416728
44.53267533,40.20803107,Yerevan,Armenia,1079732
-70.02600262,12.52500301,Oranjestad,Aruba,28295
149.0420074,-35.35000206,Canberra,Australia,420960
49.8159993,40.32399607,Baku,Azerbaijan,2270030
50.58333942,26.21666704,Manama,Bahrain,0
90.40714232,23.70991494,Dhaka,Bangladesh,8906035
-59.61584662,13.09587298,Bridgetown,Barbados,0
27.57555933,53.89993803,Minsk,Belarus,1982444
-88.8000026,17.11999803,Belmopan,Belize,13939
2.632500307,6.601104041,Porto Novo,Benin,264320
-64.77916465,32.28903,Hamilton,Bermuda,854
89.66700044,27.44299792,Thimphu,Bhutan,114551
-68.14624461,-16.49900699,La Paz,Bolivia,2143000
18.43000231,43.86999596,Sarajevo,Bosnia & Herzegovina,0
25.9507984,-24.63992993,Gaborone,Botswana,231592
-47.89774766,-15.79211094,Brasilia,Brazil,2481272
-64.62170066,18.40906808,Road Town,British Virgin Is.,0
114.9669994,4.932998971,Bandar Seri Begawan,Brunei,0
-1.67000367,12.48000304,Ouagadougou,Burkina Faso,3662000
29.35600232,-3.372002996,Bujumbura,Burundi,0
104.9131893,11.56473907,Phnom Penh,Cambodia,1958000
11.51399737,3.864996064,Yaounde,Cameroon,3420000
-75.65100268,45.37400396,Ottawa,Canada,1028514
-23.52099556,14.92299908,Praia,Cape Verde,0
-81.38332767,19.29999602,George Town,Cayman Is.,28089
18.56234737,4.36585503,Bangui,Central African Republic,0
15.2408254,12.10413603,Ndjamena,Chad,1522000
-70.64751555,-33.47502305,Santiago,Chile,6748000
116.3880364,39.90618905,Beijing,China,20781000
105.7167004,-10.41669896,The Settlement,Christmas I.,0
96.82607738,-12.15753294,West Island,Cocos Is.,0
43.24300243,-11.70000008,Moroni,Comoros,0
15.28514142,-4.285187997,Brazzaville,Congo,2074000
15.29900134,-4.320998992,Kinshasa,"Congo, DRC",12322000
-159.7666946,-21.23330401,Avarua,Cook Is.,0
-84.0786206,9.93047408,San Jose,Costa Rica,347398
-5.282999628,6.81800397,Yamoussoukro,Cote d'Ivoire,212670
15.96400239,45.80700304,Zagreb,Croatia,790017
-82.41645556,23.04895501,Havana,Cuba,2131937
33.36900339,35.17100107,Nicosia,Cyprus,0
14.45699732,50.10599695,Prague,Czech Republic,1294513
43.10000138,11.50000202,Djibouti,Djibouti,0
-61.38846868,15.29900095,Roseau,Dominica,0
-69.89900367,18.48899701,Santo Domingo,Dominican Republic,965040
-78.52427957,-0.229499918,Quito,Ecuador,1619146
31.25079932,30.07791,Cairo,Egypt,9539673
-89.20023261,13.70141095,San Salvador,El Salvador,1910000
8.772561312,3.743604037,Malabo,Equatorial Guinea,0
38.97000039,15.32999703,Asmara,Eritrea,0
24.75000032,59.41666793,Tallinn,Estonia,430805
31.19130033,-26.30338193,Mbabane,Eswatini,0
